NCT ID,Brief Title,Official Title,Study Type,Recruitment Status,Current Phase,Phase Details,Start Date,Completion Date,Primary Completion Date,Conditions Treated,Interventions,Intervention Types,Intervention Names,Lead Sponsor,All Sponsors,Sponsor Types,Study Locations,Countries,Cities,Enrollment,Study Population,Is Interventional,Has Drug Intervention,Has Device Intervention,Has Procedure Intervention,Has Behavioral Intervention,Has Biological Intervention,Has Radiation Intervention,Is Phase 0,Is Phase 1,Is Phase 2,Is Phase 3,Is Phase 4,Is Recruiting,Is Completed,Is Terminated,Is Suspended,Is Not Yet Recruiting,Is Active Not Recruiting
NCT02587312,Evaluation of Very Low Nicotine Content Cigarettes in Adolescent Smokers,Evaluation of Very Low Nicotine Content Cigarettes in Adolescent Smokers,INTERVENTIONAL,COMPLETED,NA,NA,2016-10-13T00:00:00,2019-08-31T00:00:00,2019-08-28T00:00:00,Nicotine Dependence,,,,Brown University,Brown University,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
NCT00088881,"Rituximab, Combination Chemotherapy, and 90-Yttrium Ibritumomab Tiuxetan for Patients With Stage I or II Non-Hodgkin's Lymphoma",A Phase II Trial of R-CHOP Followed by Zevalin Radioimmunotherapy for Patients With Previously Untreated Stages I and II CD20+ Diffuse Large Cell Non-Hodgkin's Lymphoma,INTERVENTIONAL,TERMINATED,PHASE2,Phase 2 (Efficacy),2004-12-01T00:00:00,2011-03-01T00:00:00,2011-03-01T00:00:00,Contiguous Stage II Adult Diffuse Large Cell Lymphoma; Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Nodal Marginal Zone B-cell Lymphoma; Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma; Splenic Marginal Zone Lymphoma; Stage I Adult Diffuse Large Cell Lymphoma; Testicular Lymphoma; Waldenström Macroglobulinemia,,,,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
NCT06956781,Multiphase Optimization Strategy (MOST) for Treating Pediatric Post-traumatic Stress Disorder (PTSD),Optimizing Behavioral Health Services Following Pediatric Trauma Exposure,INTERVENTIONAL,NOT_YET_RECRUITING,NA,NA,2025-09-01T00:00:00,2028-08-01T00:00:00,2028-08-01T00:00:00,PTSD; Trauma; Pediatric ALL,,,,University of Rochester,University of Rochester,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
NCT01854112,Helical Irradiation of Total Skin (HITS) for T Cell Lymphoma,,INTERVENTIONAL,UNKNOWN,,Not specified,2012-11-01T00:00:00,,2017-12-01T00:00:00,T-cell Lymphoma,,,,Far Eastern Memorial Hospital,Far Eastern Memorial Hospital,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NCT00075881,Bortezomib in Treating Patients With Newly Diagnosed Multiple Myeloma,"Phase II Study of PS-341 for Patients With High-Risk, Newly Diagnosed Multiple Myeloma",INTERVENTIONAL,COMPLETED,PHASE2,Phase 2 (Efficacy),2004-01-01T00:00:00,2012-10-01T00:00:00,2012-10-01T00:00:00,Stage I Multiple Myeloma; Stage II Multiple Myeloma; Stage III Multiple Myeloma,,,,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,,,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
NCT03729765,Hemoperfusion in Extracorporeal Membrane Oxygenation (ECMO) Patients,"A Randomized, Controlled Trial: Hemoperfusion in Extracorporeal Membrane Oxygenation (ECMO) Patients",INTERVENTIONAL,RECRUITING,NA,NA,2018-10-19T00:00:00,2023-12-31T00:00:00,2022-01-31T00:00:00,Cardiogenic Shock,,,,Beijing Anzhen Hospital,Beijing Anzhen Hospital,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
NCT02490319,Study on the Biological Prediction Models of Radiation Pneumonitis,Study on the Biological Prediction Models of Radiation Pneumonitis,INTERVENTIONAL,UNKNOWN,,Not specified,2008-09-01T00:00:00,,2023-07-01T00:00:00,Radiation Pneumonitis,,,,Huazhong University of Science and Technology,Huazhong University of Science and Technology,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NCT01292330,A Clinical Study to Evaluate the Clinical Outcomes of Hepatectomy With Nutritional Risk After Preoperative Nutritional Support,A Clinical Study to Evaluate the Clinical Outcomes of Hepatectomy With Nutritional Risk After Preoperative Nutritional Support,INTERVENTIONAL,UNKNOWN,NA,NA,2010-01-01T00:00:00,2011-11-01T00:00:00,2011-09-01T00:00:00,Liver Cancer,,,,Peking Union Medical College Hospital,Peking Union Medical College Hospital,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NCT05187130,"The Effect of Mindfulnes Program on Stress, Depression and Psychological Well-being in Cancer Patients","The Effect of Mindfulnes Program on Stress, Depression and Psychological Well-being in Cancer Patients: Single Blinded Randomized Controlled Study",INTERVENTIONAL,COMPLETED,NA,NA,2021-07-20T00:00:00,2021-12-22T00:00:00,2021-12-22T00:00:00,Neoplasms; Cancer,,,,Istanbul Aydın University,Istanbul Aydın University,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
NCT04811365,(PROSPECTOR) Screening Study Evaluating the Prevalence of the KIT D816V Mutation in Patients With Systemic Mast Cell Activation,Study Evaluating the Prevalence of the KIT D816V Mutation in Peripheral Blood of Patients With Evidence of Systemic Mast Cell Activation (MCA),INTERVENTIONAL,COMPLETED,,Not specified,2021-06-29T00:00:00,2023-03-31T00:00:00,2023-03-31T00:00:00,Systemic Mast Cell Activation; KIT D816V Mutation,,,,Blueprint Medicines Corporation,Blueprint Medicines Corporation,INDUSTRY,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
