NCT ID,Brief Title,Official Title,Study Type,Recruitment Status,Current Phase,Phase Details,Start Date,Completion Date,Primary Completion Date,Conditions Treated,Interventions,Intervention Types,Intervention Names,Lead Sponsor,All Sponsors,Sponsor Types,Study Locations,Countries,Cities,Enrollment,Study Population,Is Interventional,Has Drug Intervention,Has Device Intervention,Has Procedure Intervention,Has Behavioral Intervention,Has Biological Intervention,Has Radiation Intervention,Is Phase 0,Is Phase 1,Is Phase 2,Is Phase 3,Is Phase 4,Is Recruiting,Is Completed,Is Terminated,Is Suspended,Is Not Yet Recruiting,Is Active Not Recruiting
NCT00088881,"Rituximab, Combination Chemotherapy, and 90-Yttrium Ibritumomab Tiuxetan for Patients With Stage I or II Non-Hodgkin's Lymphoma",A Phase II Trial of R-CHOP Followed by Zevalin Radioimmunotherapy for Patients With Previously Untreated Stages I and II CD20+ Diffuse Large Cell Non-Hodgkin's Lymphoma,INTERVENTIONAL,TERMINATED,PHASE2,Phase 2 (Efficacy),2004-12-01T00:00:00,2011-03-01T00:00:00,2011-03-01T00:00:00,Contiguous Stage II Adult Diffuse Large Cell Lymphoma; Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Nodal Marginal Zone B-cell Lymphoma; Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma; Splenic Marginal Zone Lymphoma; Stage I Adult Diffuse Large Cell Lymphoma; Testicular Lymphoma; Waldenström Macroglobulinemia,rituximab (BIOLOGICAL); prednisone (DRUG); cyclophosphamide (DRUG); doxorubicin (DRUG); vincristine (DRUG); indium In 111 ibritumomab tiuxetan (RADIATION); radiation therapy (RADIATION); positron emission tomography (PROCEDURE),BIOLOGICAL; DRUG; DRUG; DRUG; DRUG; RADIATION; RADIATION; PROCEDURE,rituximab; prednisone; cyclophosphamide; doxorubicin; vincristine; indium In 111 ibritumomab tiuxetan; radiation therapy; positron emission tomography,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,,,,,,True,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
NCT02021981,Improving Health Outcomes: Blood Pressure,Improving Health Outcomes: Blood Pressure Program in Practice Sites Located in the Chicago Metropolitan Area and in Maryland,INTERVENTIONAL,UNKNOWN,,Not specified,2013-10-01T00:00:00,2017-07-01T00:00:00,2017-01-01T00:00:00,Hypertension,,,,American Medical Association,American Medical Association,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NCT03719612,DEF-315 Better Accuracy in Ejection Fraction (EF) Assessment With DEFINITY,"A Phase III, Open-Label, Multicenter Trial to Evaluate Ejection Fraction, End-Diastolic and End-Systolic Volumes, by Unenhanced and DEFINITY®-Enhanced 2D-Echo and Magnetic Resonance Imaging",INTERVENTIONAL,COMPLETED,PHASE3,Phase 3 (Confirmation),2018-12-28T00:00:00,2020-01-09T00:00:00,2020-01-09T00:00:00,Cardiac Disease,DEFINITY® (DRUG),DRUG,DEFINITY®,Lantheus Medical Imaging,Lantheus Medical Imaging,INDUSTRY,,,,,,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
NCT00075881,Bortezomib in Treating Patients With Newly Diagnosed Multiple Myeloma,"Phase II Study of PS-341 for Patients With High-Risk, Newly Diagnosed Multiple Myeloma",INTERVENTIONAL,COMPLETED,PHASE2,Phase 2 (Efficacy),2004-01-01T00:00:00,2012-10-01T00:00:00,2012-10-01T00:00:00,Stage I Multiple Myeloma; Stage II Multiple Myeloma; Stage III Multiple Myeloma,bortezomib (DRUG); laboratory biomarker analysis (OTHER),DRUG; OTHER,bortezomib; laboratory biomarker analysis,National Cancer Institute (NCI),National Cancer Institute (NCI),NIH,,,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
NCT05963919,Determinants of Functional Capacity in Children With Asthma,Determinants of Functional Capacity in Children With Asthma,INTERVENTIONAL,COMPLETED,,Not specified,2023-01-01T00:00:00,2023-06-30T00:00:00,2023-06-30T00:00:00,Asthma in Children,6-minute walk test (OTHER); Pulmonary function test (OTHER); Respiratory muscle strength test (OTHER); Lower extremity muscle strength test (OTHER),OTHER; OTHER; OTHER; OTHER,6-minute walk test; Pulmonary function test; Respiratory muscle strength test; Lower extremity muscle strength test,Atlas University,Atlas University,OTHER,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
NCT07021612,A Clinical and Imaging Registry of Transcatheter Aortic Valve Implantation Using JenaValve System/ J-Valve System for Patients With Pure Aortic Regurgitation,A Clinical and Imaging Registry of Transcatheter Aortic Valve Implantation Using JenaValve System/ J-Valve System for Patients With Pure Aortic Regurgitation: An Observational Study,INTERVENTIONAL,RECRUITING,,Not specified,2025-04-01T00:00:00,2028-09-30T00:00:00,2028-03-31T00:00:00,Aortic Valve Disease,JenaValve (DEVICE); J-Valve (DEVICE),DEVICE; DEVICE,JenaValve; J-Valve,"Prince of Wales Hospital, Shatin, Hong Kong","Prince of Wales Hospital, Shatin, Hong Kong",OTHER,,,,,,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
NCT03729765,Hemoperfusion in Extracorporeal Membrane Oxygenation (ECMO) Patients,"A Randomized, Controlled Trial: Hemoperfusion in Extracorporeal Membrane Oxygenation (ECMO) Patients",INTERVENTIONAL,RECRUITING,NA,NA,2018-10-19T00:00:00,2023-12-31T00:00:00,2022-01-31T00:00:00,Cardiogenic Shock,hemoperfusion (DEVICE),DEVICE,hemoperfusion,Beijing Anzhen Hospital,Beijing Anzhen Hospital,OTHER,,,,,,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
NCT02489019,Fentanyl Effect on Blood Pressure in Elderly Patients After Induction of General Anesthesia,Fentanyl Effect on Blood Pressure in Elderly Patients After Induction of General Anesthesia,INTERVENTIONAL,UNKNOWN,"PHASE2, PHASE3",Phase 2 (Efficacy); Phase 3 (Confirmation),2018-02-19T00:00:00,2022-12-01T00:00:00,2020-07-01T00:00:00,Hypotension,Sodium chloride (DRUG); Fentanyl (DRUG),DRUG; DRUG,Sodium chloride; Fentanyl,Loyola University,Loyola University,OTHER,,,,,,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
NCT01849419,Effects of MDMA on Social and Emotional Processing,Effects of MDMA on Social and Emotional Processing,INTERVENTIONAL,COMPLETED,NA,NA,2010-07-01T00:00:00,2013-03-01T00:00:00,2013-03-01T00:00:00,Drug Addiction,Within-subjects (MDMA) (DRUG); Within-subjects (oxytocin) (DRUG); Within-subjects (placebo) (DRUG),DRUG; DRUG; DRUG,Within-subjects (MDMA); Within-subjects (oxytocin); Within-subjects (placebo),University of Chicago,University of Chicago,OTHER,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
NCT00020800,Rituximab Plus Fludarabine in Treating Patients With Waldenstrom's Macroglobulinemia,"Phase II Study of Combination Rituxan (Rituximab, Mabthera) and Fludarabine Therapy in Lymphoplasmacytic Lymphoma (Waldenstrom's Macroglobulinemia)",INTERVENTIONAL,COMPLETED,PHASE2,Phase 2 (Efficacy),2001-09-01T00:00:00,,2003-04-01T00:00:00,Lymphoma,rituximab (BIOLOGICAL); fludarabine phosphate (DRUG),BIOLOGICAL; DRUG,rituximab; fludarabine phosphate,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,OTHER,,,,,,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
